,year,neighborhood,sale_price_sqr_foot
63,2011,Outer Sunset,297.2455578459466
64,2011,Outer Mission,142.14256751724554
65,2011,Mission Bay,506.95217450146765
66,2011,North Beach,290.9210327099608
67,2011,Noe Valley,373.97868706755236
68,2011,Nob Hill,340.6425969783877
69,2011,Mission Dolores,293.4042461148187
70,2011,Parkside,217.55878684527906
71,2011,North Waterfront,346.96116001560216
72,2011,Parnassus/Ashbury Heights,466.6178976523653
73,2011,Sunnyside,437.16429949197664
74,2011,Potrero Hill,503.13850456030497
75,2011,Presidio Heights,493.814917282618
76,2011,Russian Hill,448.3201042149405
77,2011,South Beach,388.6443367815385
78,2011,South of Market,337.91413464365013
79,2011,Telegraph Hill,483.4057725178001
80,2011,Twin Peaks,284.56696642681646
81,2011,Union Square District,302.12325280969134
82,2011,Van Ness/ Civic Center,384.23680203579306
83,2011,Western Addition,227.41898086494461
84,2011,Westwood Highlands,320.0743330547439
85,2011,Yerba Buena,438.86054508174806
86,2011,Portola,208.1679967483858
87,2011,Marina,390.81846895621413
88,2011,Park North,289.60560009472283
89,2011,Lone Mountain,313.33845823084727
90,2011,Bayview,172.54056243085552
91,2011,Bernal Heights ,471.9217320911283
92,2011,Buena Vista Park,171.7723466866044
93,2011,Central Richmond,261.6638003416518
94,2011,Central Sunset,391.42644972996203
95,2011,Clarendon Heights,520.7181675305429
96,2011,Corona Heights,222.567848047696
97,2011,Cow Hollow,390.5956530284181
98,2011,Croker Amazon,145.85338027594094
99,2011,Diamond Heights,382.3522610640586
100,2011,Downtown ,234.28162351035442
101,2011,Duboce Triangle,295.77937822922695
102,2011,Eureka Valley/Dolores Heights,413.16280403427527
103,2011,Alamo Square,272.5273101795261
104,2011,Financial District South,354.66555789282774
105,2011,Financial District North,281.312904357283
106,2011,Lake --The Presidio,330.10889435237306
107,2011,Jordan Park/Laurel Heights,610.7666631577348
108,2011,Inner Sunset,302.60448945564127
109,2011,Inner Richmond,360.03727240448274
110,2011,Inner Mission,283.17495073168755
111,2011,Lower Pacific Heights,303.5441997161898
112,2011,Ingleside ,356.7090091359044
113,2011,Hayes Valley,280.73063309393075
114,2011,Haight Ashbury,392.35345097326814
115,2011,Golden Gate Heights,348.92970004124925
116,2011,Glen Park,457.41388429762526
117,2011,Ingleside Heights,198.01587292452027
118,2012,Outer Sunset,413.05871935195154
119,2012,Outer Richmond ,338.63301173022234
120,2012,Outer Parkside,312.83398436239065
121,2012,Outer Mission,221.881138746669
122,2012,Oceanview,442.24265696115737
123,2012,Noe Valley,428.0219127043747
124,2012,North Beach,517.1734931165627
125,2012,Nob Hill,307.78311439850694
126,2012,Mission Dolores,320.9599230279341
127,2012,Mission Bay,689.5233123659036
128,2012,Miraloma Park,756.1923725098497
129,2012,North Waterfront,390.3838567783597
130,2012,Pacific Heights,586.2182148097696
131,2012,Parnassus/Ashbury Heights,515.9210732061051
132,2012,Parkside,378.2738784387478
133,2012,Portola,351.0432256921308
134,2012,Potrero Hill,466.6478402167172
135,2012,Presidio Heights,426.60859207171325
136,2012,Yerba Buena,491.8140030500954
137,2012,South of Market,463.8098989043553
138,2012,Telegraph Hill,465.80212163177373
139,2012,Twin Peaks,304.89964760284107
140,2012,Union Square District,445.1967876448791
141,2012,Van Ness/ Civic Center,345.95804038831767
142,2012,West Portal,325.79541506433713
143,2012,Western Addition,274.33846004864847
144,2012,Midtown Terrace,397.9391288956355
145,2012,Park North,288.0785187599688
146,2012,Russian Hill,414.16272789686775
147,2012,Merced Heights,421.1412447061912
148,2012,Lower Pacific Heights,396.171112391617
149,2012,Marina,445.21509554245245
150,2012,Alamo Square,183.09931693145703
151,2012,Anza Vista,344.4909139677922
152,2012,Bayview,165.79806239165433
153,2012,Bernal Heights ,368.26656078838516
154,2012,Buena Vista Park,338.60116351046344
155,2012,Central Richmond,279.0301399218751
156,2012,Corona Heights,356.7948135908725
157,2012,Cow Hollow,644.8183066758803
158,2012,Croker Amazon,415.0903401095623
159,2012,Diamond Heights,366.9954275112727
160,2012,Downtown ,269.109528813633
161,2012,Duboce Triangle,452.66002242984047
162,2012,Central Sunset,334.4878725198492
163,2012,Excelsior,371.0302152741686
164,2012,Eureka Valley/Dolores Heights,524.8134180834782
165,2012,Lake --The Presidio,380.5214843069476
166,2012,Jordan Park/Laurel Heights,383.15039609809617
167,2012,Inner Sunset,325.82892041816064
168,2012,Inner Richmond,373.4668636470579
169,2012,Inner Mission,336.8259501844992
170,2012,Lone Mountain,545.9801982412763
171,2012,Haight Ashbury,418.83037933269526
172,2012,Forest Knolls,434.63234651328025
173,2012,Financial District South,613.8430658201435
174,2012,Financial District North,286.3519820673892
175,2012,Hayes Valley,306.3779578647354
176,2013,Portola,235.99759251727426
177,2013,Parnassus/Ashbury Heights,425.64225533080946
178,2013,Parkside,364.62465302417013
179,2013,Park North,512.6307219919141
180,2013,Pacific Heights,503.89926133005366
181,2013,Outer Sunset,322.0822144332409
182,2013,North Waterfront,483.16880334240136
183,2013,Outer Parkside,372.24198616911974
184,2013,North Beach,393.71733534550384
185,2013,Noe Valley,615.0639297056517
186,2013,Nob Hill,466.02648785310464
187,2013,Outer Richmond ,332.40781536886453
188,2013,Potrero Hill,598.704795328917
189,2013,Mission Terrace,591.4020223180053
190,2013,Russian Hill,506.22752218971993
191,2013,South of Market,420.822184596571
192,2013,Sunnyside,505.83481143735054
193,2013,Telegraph Hill,653.3116166908643
194,2013,Twin Peaks,414.43569251368126
195,2013,Union Square District,1290.472106646641
196,2013,Van Ness/ Civic Center,285.0095060630079
197,2013,Visitacion Valley,293.2983722057751
198,2013,West Portal,588.0747967826295
199,2013,Western Addition,217.0890689540353
200,2013,Westwood Highlands,747.3335378171588
201,2013,Yerba Buena,753.0114133184368
202,2013,Presidio Heights,512.8402484358223
203,2013,Mission Dolores,427.16626614177557
204,2013,Jordan Park/Laurel Heights,584.0737147409254
205,2013,Midtown Terrace,703.0815676877947
206,2013,Alamo Square,387.79414379681333
207,2013,Anza Vista,453.34049829869934
208,2013,Bayview,259.54716259308043
209,2013,Bernal Heights ,630.8973025513741
210,2013,Buena Vista Park,455.2180887853926
211,2013,Central Richmond,343.0542609770136
212,2013,Central Sunset,330.7364310191893
213,2013,Cow Hollow,707.4028088888208
214,2013,Croker Amazon,223.11583290346024
215,2013,Diamond Heights,533.6884470076521
216,2013,Downtown ,361.45469198221224
217,2013,Eureka Valley/Dolores Heights,608.694967227678
218,2013,Excelsior,289.749665708438
219,2013,Clarendon Heights,453.7716045219721
220,2013,Glen Park,458.7213317825408
221,2013,Financial District North,274.4579436322337
222,2013,Lower Pacific Heights,548.0466890413603
223,2013,Lone Mountain,376.08359802951554
224,2013,Lake --The Presidio,568.6511487607912
225,2013,Mission Bay,
226,2013,Inner Sunset,435.5456667813491
227,2013,Marina,655.1980415945777
228,2013,Inner Mission,377.51801557551835
229,2013,Hayes Valley,491.5892613631572
230,2013,Haight Ashbury,478.4956365730093
231,2013,Golden Gate Heights,956.1841219171133
232,2013,Inner Richmond,302.96737702840636
233,2014,Potrero Hill,1045.2015459222662
234,2014,Portola,538.204698577284
235,2014,Parnassus/Ashbury Heights,773.4061347806703
236,2014,Parkside,446.23924529045684
237,2014,Park North,371.9242451684328
238,2014,Pacific Heights,824.6586936349588
